,episode_number,Episode_title,description,Episode_runtime,Released_on
0,401,The Last Ball,The GPL 2 match has come to an end. The last ball is thrown! Did Daya score her wicket to win the match? This is the phase where there will be a lot of rewinds to give acute attention to the details of the last ball. Watch this exciting episode of Taarak Mehta Ka Ooltah Chashmah only on Sony LIV.,19 mins,08 Jan 2020
1,402,Daya Dandiya Devil Team Wins The GPL 2 Match,"The GPL 2 match concluded with Daya's team winning the match and Sodhi winning the title, Man of the Match. Both the teams conclude the match with a mutual understanding and all the issues that arose during the match are resolved peacefully. Watch this episode of Taarak Mehta Ka Ooltah Chashmah only on Sony LIV.",20 mins,08 Jan 2020
2,403,Silence After The Storm,"Silence prevails after all the loud cheers for the Gokuldam Premier League 2 match. Everyone goes back to their normal lives, with the memories to savor from the match. But Bhide being the secretary, is aware of his responsibilities and looks over donations spent on the match. Will he find anything shocking?",20 mins,09 Jan 2020
3,404,Tapu Learns A Life Lesson,"Jethalal's mobile is stuck in the sofa. When his dad tries to take it, his hand gets stuck in the sofa. So they have to call Sodhi for help. Jethalal gets his mobile back, but the sofa needs to be repaired. On the other hand, Tapu who takes things for granted learns a life lesson from the boy who can't afford any luxuries due to poverty. Watch this episode of Taarak Mehta Ka Ooltah Chashmah only on Sony LIV.",20 mins,09 Jan 2020
4,405,Champaklal Loses His Money Bag,"Champaklal decides to help the boy who struggles to pay his school fees. So Tapu and his friends decide to help him along with his grandfather. But on the way to the school, Champaklal loses his money bag in the taxi. What will happen next? Watch this episode of Taarak Mehta Ka Ooltah Chashmah only on Sony LIV.",20 mins,09 Jan 2020
5,406,Man Of The Match,"Sodhi goes to Rita, the reporter, to get a copy of the GPL 2 match telecast in a CD. He is very excited to watch him and the others play. He is on cloud nine when he hears the other cricketer's comments about him when he wins the man of the match. He tries his best to get connected with them but ends in vain.",20 mins,09 Jan 2020
6,407,Sodhi Leaves Without Informing,"Sodhi has a dream about GPL 2 match and is so into meeting the actual cricketer that the next morning, Sodhi shows his gratitude to Daya for being his captain and leaves to meet the cricketer without informing his wife and son. They were worried without knowing his whereabouts. Watch this episode of Taarak Mehta Ka Ooltah Chashmah only on Sony LIV.",17 mins,09 Jan 2020
7,408,Sodhi's Dream Come True,Sodhi gets an opportunity to meet the cricket team. What will be the level of his excitement? Find out in this episode of Taarak Mehta Ka Ooltah Chashmah only on Sony LIV.,19 mins,09 Jan 2020
8,409,Jethalal's Childhood Photos,"Anjali appreciates Tappu and his friends for helping that student to pay his school tuition fees. Champaklal is busy fixing his old suitcase, where Tappu discovers few old photos of Jethalal. What will Tappu do with these photographs? Find out in this episode of Taarak Mehta Ka Ooltah Chashmah only on Sony LIV.",16 mins,09 Jan 2020
9,410,Jethalal Helps Babita,"Babita seeks Jethalal's help to get her mobile phone fixed. But Jethalal gets a headache, where Daya helps him by giving him a massage. But that doesn't seem to work with the headache. Instead, he ends up having spiky hair. What will Jetha's reaction be to this? Watch Taarak Mehta Ka Ooltah Chashmah only on Sony LIV.",18 mins,09 Jan 2020
10,411,Jethalal's Weird Hairstyle,"Jethalal's hair is in very bad shape after he applies the shampoo which Sunder has sent.  In the meantime, Iyer and Babita visit Jethalal, and Iyer wants to try the shampoo which Jethalal has used. Iyer is not aware of his upcoming trouble. Will Iyer find out before using the shampoo? Watch this episode of Taarak Mehta Ka Ooltah Chashmah only on Sony LIV.",20 mins,09 Jan 2020
11,412,Will Jetha Go Bald?,Taarak gives Jetha two options and tells him that he can either stay with that hairstyle or go bald. He says that he had talked to some hairstylists and they are firm on the options. Jetha almost starts to cry after thinking of how he will look if he goes bald. Will Jetha really go bald?,20 mins,30 Jun 2020
12,413,Daya's Trick,"Sodhi comes to Jetha's house running. He sees that Jetha's hand on his chest and assumes that he's had a heart attack. After Bhide and Mehta join Sodhi, Daya tells her trick to everyone. What is Daya's trick? Watch this episode of Taarak Mehta Ka Ooltah Chashmah only on Sony LIV.",20 mins,30 Jun 2020
13,414,Nattu Kaka's Love For Jetha,"Nattu Kaka reminds Jetha of the time and tells him that he should go home. Meanwhile, Daya is worried and is patiently waiting for Jetha to return home. Nattu Kaka tells Jetha that it is raining outside and that he if he does not have an umbrella, he can borrow it from Nattu Kaka.  Watch this episode of Taarak Mehta Ka Ooltah Chashmah only on Sony LIV.",20 mins,30 Jun 2020
14,415,Champakal Sees A Ghost,"It is heavily raining outside as Champaklal is standing on the terrace of his house when he sees a ghost. He comes inside, scared for his life, and wakes everyone up. Did Champaklal really see a ghost? Watch this episode and find out.",20 mins,30 Jun 2020
15,416,Daya's Plan,"Madhavi tells Bhide about the ghost in the society. But he laughs it off. Daya asks Jethalal to get some items to get rid of the ghost, but she doesn't tell him the real reason. While Daya goes to execute the plan of getting rid of the ghost, Bhide sees her performing the task. Will Bhide believe Madhavi now?",20 mins,09 Jan 2020
16,417,Bhide Is Scared,"Madhavi finds Bhide lying in the Balcony. Bhide gets so scared that he gets a fever. Upon knowing this, the whole society gathers at Bhide's house and are shocked when they hear the story. Will everyone believe it? What will they do about it?",17 mins,09 Jan 2020
17,418,Men To Guard The Society,"All the ladies of the Gokuldham Society are scared of the ghost. But the men refuse to believe it. The men decide to guard society at night to prove that there is no ghost. Daya, according to her mother's advice, plans to send Jethalal to perform the task to get rid of the ghost.  Watch this episode only on Sony LIV.",20 mins,09 Jan 2020
18,419,Jethalal Meets A Strange Person,"Worried Daya, calls up Jethalal to ask whether he has left for home as it has become very dark. On his way back home, Jethalal encounters a strange man and he gets scared. Jethalal makes excuses as he doesn't want to guard the Gokuldham society at night.",21 mins,09 Jan 2020
19,420,Iyer And Popatlal Encounter With The Ghost,"Sodhi, Popatlal, and Iyer guard the society at night. But after some time, Sodhi goes to his home. After hearing Popatlal scream, the society members go down to find Popatlal and Iyer. Popatlal and Iyer tell the society members about their encounter with the ghost. What did they see? Watch this episode only on Sony LIV.",20 mins,09 Jan 2020
20,421,Black Magic For The Ghost,Everyone is scared at night to sleep in their houses. Sundar gives Daya the idea of calling a person who does black magic to get rid of the ghost. Will everyone support this idea of Sundar's? Only one way to find out.,20 mins,09 Jan 2020
21,422,Gokuldham Member's See The Ghost,"Two men arrive at Gokuldham Society to get rid of the ghost. Suddenly, the ghost appears in front of the society members and scare everybody. The society members run into the clubhouse for protection. The parents start worrying as Tapusena is missing from the clubhouse. WHere is Tapusena?",20 mins,09 Jan 2020
22,423,Another Ghost In Gokuldham,"Tapu Sena, along with Rita reporter, tells the society members about what they have discovered related to the ghost and make a plan. But, the twist in the story comes when the ghost meets another ghost in the society. How many ghosts are there in Gokuldham society? Watch this episode to find out.",17 mins,09 Jan 2020
23,424,The Ghost Story Is Revealed,"According to the plan, Daya dresses up as a ghost and tries to scare the lady ghost. But it turns out that the ghost is a lady who is trying to do something illegal in the society with her set of friends. Will society members be furious now? Watch this episode to find out.",20 mins,09 Jan 2020
